time	I1	I2	I3		
0.0167628457	-0.757441	1.025566	-0.2460065		
0.0168278179	-0.77956	0.9942762	-0.2309008		
0.0168927902	-0.7730861	0.9953551	-0.1812679		
0.0169577625	-0.7930472	0.9662228	-0.1613069		
0.0170227348	-0.8070739	0.9435643	-0.1375694		
0.0170877070	-0.8119293	0.9349325	-0.09980527		
0.0171526793	-0.8275744	0.9128135	-0.07768626		
0.0172176516	-0.825956	0.9079581	-0.03722467		
0.0172826238	-0.8464565	0.8815233	-0.02050054		
0.0173475961	-0.8723519	0.848075	-0.01078976		
0.0174125684	-0.8642595	0.8513119	0.0399221		
0.0174775406	-0.8820627	0.827035	0.05880418		
0.0175425129	-0.8836812	0.8221796	0.09818679		
0.0176074852	-0.9025632	0.7995211	0.1197663		
0.0176724575	-0.9241427	0.7714677	0.1375694		
0.0177374297	-0.9246822	0.7714677	0.1893602		
0.0178024020	-0.9457222	0.7450328	0.2114792		
0.0178673743	-0.9602885	0.7293876	0.2481644		
0.0179323465	-0.9737756	0.7115845	0.2837706		
0.0179973188	-0.9964341	0.6846101	0.3075081		
0.0180622911	-1.00075	0.6829916	0.3549831		
0.0181272633	-1.023948	0.6570963	0.3760231		
0.0181922356	-1.037435	0.6441485	0.4127082		
0.0182572079	-1.05362	0.624727	0.4461565		
0.0183221802	-1.093542	0.5848049	0.4526303		
0.0183871524	-1.086529	0.60045	0.514132		
0.0184521247	-1.114043	0.5745546	0.5319351		
0.0185170970	-1.11674	0.5799495	0.5831864		
0.0185820692	-1.143175	0.5567515	0.6031474		
0.0186470415	-1.172307	0.5281586	0.6117792		
0.0187120138	-1.163136	0.5346325	0.6592542		
0.0187769860	-1.171768	0.5065791	0.6748993		
0.0188419583	-1.157741	0.4957893	0.7072686		
0.0189069306	-1.163136	0.4618016	0.7142819		
0.0189719029	-1.165294	0.4256559	0.7191373		
0.0190368751	-1.143175	0.4154057	0.7520461		
0.0191018474	-1.139398	0.3819574	0.7590594		
0.0191668197	-1.115661	0.3727861	0.7892708		
0.0192317919	-1.113503	0.3361009	0.7898102		
0.0192967642	-1.108108	0.3037317	0.797363		
0.0193617365	-1.083831	0.2859286	0.8194821		
0.0194267087	-1.078436	0.2476249	0.8184031		
0.0194916810	-1.044448	0.2352167	0.8486145		
0.0195566533	-1.036896	0.1974526	0.8475354		
0.0196216256	-1.019632	0.1693992	0.8556278		
0.0196865978	-0.9975131	0.1472802	0.8691149		
0.0197515701	-0.9910392	0.1062791	0.866957		
0.0198165424	-0.9570515	0.09548935	0.8977078		
0.0198815146	-0.9494987	0.05664623	0.8971683		
0.0199464869	-0.9279191	0.03452722	0.911195		
0.0200114592	-0.9138924	0.007552831	0.9225243		
0.0200764314	-0.913353	-0.03668518	0.914432		
0.0201414037	-0.8799047	-0.04046159	0.9511171		
0.0202063760	-0.8745098	-0.08200216	0.9489592		
0.0202713483	-0.8416011	-0.089555	0.9829469		
0.0203363205	-0.8378247	-0.1294771	0.9775521		
0.0204012928	-0.8356667	-0.1726361	0.9743151		
